condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,4,dmb_ishst,after_every,2,1000000,4000000,12143326,3778400,12.143,3.778,3.0358,PASS
hit,4,dmb_ishst,after_every,3,1000000,4000000,12099430,3765472,12.099,3.765,3.0249,PASS
hit,4,dmb_ishst,after_every,4,1000000,4000000,12125915,3795520,12.126,3.796,3.0315,PASS
hit,4,dmb_ishst,after_every,5,1000000,4000000,12152826,3782240,12.153,3.782,3.0382,PASS
hit,4,dmb_ishst,after_every,6,1000000,4000000,12135632,3775424,12.136,3.775,3.0339,PASS
hit,4,dmb_ishst,after_every,7,1000000,4000000,12134659,3776960,12.135,3.777,3.0337,PASS
hit,4,dmb_ishst,after_every,8,1000000,4000000,12131208,3776064,12.131,3.776,3.0328,PASS
hit,4,dmb_ishst,after_every,9,1000000,4000000,12157290,3784096,12.157,3.784,3.0393,PASS
hit,4,dmb_ishst,after_group,0,1000000,4000000,12183248,3822944,12.183,3.823,3.0458,PASS
hit,4,dmb_ishst,after_group,1,1000000,4000000,12128661,3789408,12.129,3.789,3.0322,PASS
hit,4,dmb_ishst,after_group,2,1000000,4000000,12126232,3774144,12.126,3.774,3.0316,PASS
hit,4,dmb_ishst,after_group,3,1000000,4000000,12143932,3780384,12.144,3.780,3.0360,PASS
hit,4,dmb_ishst,after_group,4,1000000,4000000,12119535,3769952,12.120,3.770,3.0299,PASS
hit,4,dmb_ishst,after_group,5,1000000,4000000,12170431,3790272,12.170,3.790,3.0426,PASS
hit,4,dmb_ishst,after_group,6,1000000,4000000,12153293,3783040,12.153,3.783,3.0383,PASS
hit,4,dmb_ishst,after_group,7,1000000,4000000,12154133,3782336,12.154,3.782,3.0385,PASS
hit,4,dmb_ishst,after_group,8,1000000,4000000,12160898,3785088,12.161,3.785,3.0402,PASS
hit,4,dmb_ishst,after_group,9,1000000,4000000,12175956,3815680,12.176,3.816,3.0440,PASS
hit,4,dmb_st,after_every,0,1000000,4000000,12147141,3787392,12.147,3.787,3.0368,PASS
hit,4,dmb_st,after_every,1,1000000,4000000,12177109,3803360,12.177,3.803,3.0443,PASS
hit,4,dmb_st,after_every,2,1000000,4000000,12156492,3782464,12.156,3.782,3.0391,PASS
hit,4,dmb_st,after_every,3,1000000,4000000,12147466,3780960,12.147,3.781,3.0369,PASS
